"","taxon","sample","depth","lon","lat","abundance","richness","sigma"
"96","fish","isrwest180321F",34.3,34.9153,29.49875,51,20,1.26621448699994
"97","fish","isrwest180321G",140,34.923633,29.4986,5,3,0.483210237665936
"98","fish","isrwest180321H",8.1,34.917697,29.501602,159,25,2.21759557559055
"99","fish","isrwest240220A",10,34.91827,29.50192,33,15,1.4366574938553
"100","fish","isrwest240220B",20,34.91016,29.49592,80,20,4.17128006698846
"101","fish","isrwest240220C",40.4,34.91321,29.49511,34,13,1.22406978230099
"102","fish","isrwest240220D",60.9,34.90939,29.49084,9,2,1.57430216938532
"103","fish","isrwest240220E",76.6,34.91415,29.49217,43,14,1.53880527130186
"104","fish","isrwest240220F",103.7,34.91629,29.49311,3,2,0.0150563559131666
"105","fish","isrwest241220A",136,34.9332,29.51215,4,2,0.0217864630935816
"106","fish","isrwest241220B",110.5,34.93455,29.514217,3,2,0.0150563559131666
"107","fish","isrwest241220C",98,34.935533,29.516933,12,4,0.869197134879633
"108","fish","isrwest241220D",67.7,34.935283,29.519583,8,6,1.85427849902116
"109","fish","isrwest241220E",52.8,34.936067,29.522133,37,25,0.670756007166369
"110","fish","isrwest241220F",29.1,34.935683,29.523133,76,34,1.25161434103197
"111","fish","isrwest241220G",24.8,34.937333,29.52525,49,23,0.851318349386451
"112","fish","isrwest241220H",87.2,34.94065,29.524667,5,3,0.483210237665936
"113","fish","isrwest241220I",41.9,34.938733,29.5244,76,25,0.993973912015301
"114","fish","isrwest260122A",140,34.926299,29.502833,8,4,4.60925448473406
"115","fish","isrwest260122B",114,34.919699,29.495409,6,4,0.95418307142064
"116","fish","isrwest260122C",149,34.916886,29.492337,3,3,0.0521168099182725
"117","fish","isrwest260122D",92,34.913954,29.491262,6,5,0.0234870107351228
"118","fish","isrwest260122E",71,34.9172,29.497683,6,5,0.0234870107351228
"119","fish","isrwest260122F",48.4,34.912483,29.495017,72,22,2.00884892495261
"120","fish","isrwest260122G",34.4,34.914748,29.498272,30,16,1.33597569255178
"121","fish","isrwest260122H",16.8,34.908531,29.495314,48,20,2.57886411432852
"122","fish","isrwest260122I",20.1,34.907006,29.494041,50,21,2.10872892329312
"123","fish","isrwest260122J",40.9,34.910249,29.493163,32,11,1.68627870496705
