"","taxon","sample","depth","lon","lat","diversity_measure","value"
"73","fish","isrnort131021C",92.1,34.953567,29.536117,"abundance",10
"74","fish","isrnort131021C",92.1,34.953567,29.536117,"richness",6
"75","fish","isrnort131021C",92.1,34.953567,29.536117,"sigma",0.0149077756686561
"76","fish","isrnort131021D",72.6,34.954433,29.538867,"abundance",11
"77","fish","isrnort131021D",72.6,34.954433,29.538867,"richness",6
"78","fish","isrnort131021D",72.6,34.954433,29.538867,"sigma",1.62162174116599
"79","fish","isrnort131021E",57,34.956667,29.5409,"abundance",25
"80","fish","isrnort131021E",57,34.956667,29.5409,"richness",11
"81","fish","isrnort131021E",57,34.956667,29.5409,"sigma",3.67014842280136
"82","fish","isrnort131021F",34,34.959883,29.5449,"abundance",51
"83","fish","isrnort131021F",34,34.959883,29.5449,"richness",15
"84","fish","isrnort131021F",34,34.959883,29.5449,"sigma",2.31501735488579
"85","fish","isrnort131021G",125,34.956683,29.533517,"abundance",15
"86","fish","isrnort131021G",125,34.956683,29.533517,"richness",7
"87","fish","isrnort131021G",125,34.956683,29.533517,"sigma",0.514154434528056
"88","fish","isrnort131021H",16.4,34.962033,29.546517,"abundance",85
"89","fish","isrnort131021H",16.4,34.962033,29.546517,"richness",17
"90","fish","isrnort131021H",16.4,34.962033,29.546517,"sigma",2.22863307605197
"91","fish","isrnort170321A",137.8,34.960217,29.530867,"abundance",4
"92","fish","isrnort170321A",137.8,34.960217,29.530867,"richness",3
"93","fish","isrnort170321A",137.8,34.960217,29.530867,"sigma",0.0195414609133534
"94","fish","isrnort170321B",122.7,34.961483,29.531583,"abundance",16
"95","fish","isrnort170321B",122.7,34.961483,29.531583,"richness",7
"96","fish","isrnort170321B",122.7,34.961483,29.531583,"sigma",0.765968498167255
"97","fish","isrnort170321C",89.6,34.962933,29.533283,"abundance",9
"98","fish","isrnort170321C",89.6,34.962933,29.533283,"richness",4
"99","fish","isrnort170321C",89.6,34.962933,29.533283,"sigma",0.294985776600761
"100","fish","isrnort170321D",66.4,34.96485,29.536017,"abundance",15
"101","fish","isrnort170321D",66.4,34.96485,29.536017,"richness",9
"102","fish","isrnort170321D",66.4,34.96485,29.536017,"sigma",1.31282621668595
"103","fish","isrnort170321E",45.7,34.966833,29.53925,"abundance",14
"104","fish","isrnort170321E",45.7,34.966833,29.53925,"richness",8
"105","fish","isrnort170321E",45.7,34.966833,29.53925,"sigma",0.723062014301059
"106","fish","isrnort170321F",25.1,34.9699,29.54315,"abundance",13
"107","fish","isrnort170321F",25.1,34.9699,29.54315,"richness",8
"108","fish","isrnort170321F",25.1,34.9699,29.54315,"sigma",0.0126323761280786
"109","fish","isrnort170321G",15.5,34.96715,29.544733,"abundance",18
"110","fish","isrnort170321G",15.5,34.96715,29.544733,"richness",12
"111","fish","isrnort170321G",15.5,34.96715,29.544733,"sigma",1.36008512139442
"112","fish","isrnort170321H",112,34.95935,29.533083,"abundance",4
"113","fish","isrnort170321H",112,34.95935,29.533083,"richness",3
"114","fish","isrnort170321H",112,34.95935,29.533083,"sigma",0.0195414609133534
"115","fish","isrnort230220B",28.2,34.96355,29.543083,"abundance",28
"116","fish","isrnort230220B",28.2,34.96355,29.543083,"richness",10
"117","fish","isrnort230220B",28.2,34.96355,29.543083,"sigma",0.978262124286978
"118","fish","isrnort230220C",15.2,34.964333,29.544383,"abundance",20
"119","fish","isrnort230220C",15.2,34.964333,29.544383,"richness",10
"120","fish","isrnort230220C",15.2,34.964333,29.544383,"sigma",1.1497852585976
"121","fish","isrnort230220D",47.8,34.96189,29.540413,"abundance",4
"122","fish","isrnort230220D",47.8,34.96189,29.540413,"richness",4
"123","fish","isrnort230220D",47.8,34.96189,29.540413,"sigma",0.0151422846952663
"124","fish","isrnort230220E",72.4,34.96004,29.535736,"abundance",9
"125","fish","isrnort230220E",72.4,34.96004,29.535736,"richness",7
"126","fish","isrnort230220E",72.4,34.96004,29.535736,"sigma",0.0176782790462174
"127","fish","isrnort230220F",91.8,34.958805,29.533348,"abundance",2
"128","fish","isrnort230220F",91.8,34.958805,29.533348,"richness",1
"129","fish","isrnort230220F",91.8,34.958805,29.533348,"sigma",0.00941169561488163
"130","fish","isrnort231220B",123,34.966033,29.53105,"abundance",13
"131","fish","isrnort231220B",123,34.966033,29.53105,"richness",4
"132","fish","isrnort231220B",123,34.966033,29.53105,"sigma",0.982630727715292
"133","fish","isrnort231220C",142,34.9652,29.530133,"abundance",3
"134","fish","isrnort231220C",142,34.9652,29.530133,"richness",2
"135","fish","isrnort231220C",142,34.9652,29.530133,"sigma",0.0150563559131666
"136","fish","isrnort231220D",107,34.967117,29.531333,"abundance",4
"137","fish","isrnort231220D",107,34.967117,29.531333,"richness",3
"138","fish","isrnort231220D",107,34.967117,29.531333,"sigma",0.0195414609133534
"139","fish","isrnort231220E",71.9,34.968417,29.533717,"abundance",10
"140","fish","isrnort231220E",71.9,34.968417,29.533717,"richness",6
"141","fish","isrnort231220E",71.9,34.968417,29.533717,"sigma",0.00895689841914691
"142","fish","isrnort231220F",50.8,34.97085,29.53745,"abundance",13
"143","fish","isrnort231220F",50.8,34.97085,29.53745,"richness",9
"144","fish","isrnort231220F",50.8,34.97085,29.53745,"sigma",0.0318279762905367
"145","fish","isrnort231220G",31.7,34.972517,29.541517,"abundance",56
"146","fish","isrnort231220G",31.7,34.972517,29.541517,"richness",11
"147","fish","isrnort231220G",31.7,34.972517,29.541517,"sigma",1.85285851878558
"148","fish","isrnort231220H",25.6,34.973833,29.542183,"abundance",47
"149","fish","isrnort231220H",25.6,34.973833,29.542183,"richness",13
"150","fish","isrnort231220H",25.6,34.973833,29.542183,"sigma",1.64880059879301
"151","fish","isrnort231220I",84.2,34.968967,29.531767,"abundance",14
"152","fish","isrnort231220I",84.2,34.968967,29.531767,"richness",8
"153","fish","isrnort231220I",84.2,34.968967,29.531767,"sigma",2.46596867760521
"154","fish","isrnort270122A",135,34.952824,29.532963,"abundance",7
"155","fish","isrnort270122A",135,34.952824,29.532963,"richness",5
"156","fish","isrnort270122A",135,34.952824,29.532963,"sigma",1.43376250599051
"157","fish","isrnort270122B",123,34.95823,29.53224,"abundance",6
"158","fish","isrnort270122B",123,34.95823,29.53224,"richness",4
"159","fish","isrnort270122B",123,34.95823,29.53224,"sigma",0.95418307142064
"160","fish","isrnort270122C",135,34.96271,29.530563,"abundance",9
"161","fish","isrnort270122C",135,34.96271,29.530563,"richness",7
"162","fish","isrnort270122C",135,34.96271,29.530563,"sigma",1.75214437552589
"163","fish","isrnort270122D",87.2,34.954906,29.535656,"abundance",12
"164","fish","isrnort270122D",87.2,34.954906,29.535656,"richness",6
"165","fish","isrnort270122D",87.2,34.954906,29.535656,"sigma",2.10237564690081
"166","fish","isrnort270122E",72.5,34.958298,29.536814,"abundance",17
"167","fish","isrnort270122E",72.5,34.958298,29.536814,"richness",7
"168","fish","isrnort270122E",72.5,34.958298,29.536814,"sigma",0.889570786359743
"169","fish","isrnort270122F",50,34.955708,29.541029,"abundance",22
"170","fish","isrnort270122F",50,34.955708,29.541029,"richness",9
"171","fish","isrnort270122F",50,34.955708,29.541029,"sigma",0.0156429974304637
"172","fish","isrnort270122G",68.4,34.96197,29.53498,"abundance",12
"173","fish","isrnort270122G",68.4,34.96197,29.53498,"richness",5
"174","fish","isrnort270122G",68.4,34.96197,29.53498,"sigma",0.89159933962823
"175","fish","isrnort270122H",40.6,34.95998,29.542603,"abundance",32
"176","fish","isrnort270122H",40.6,34.95998,29.542603,"richness",9
"177","fish","isrnort270122H",40.6,34.95998,29.542603,"sigma",4.19760937926989
"178","fish","isrnort270122I",32.3,34.96076,29.54403,"abundance",38
"179","fish","isrnort270122I",32.3,34.96076,29.54403,"richness",7
"180","fish","isrnort270122I",32.3,34.96076,29.54403,"sigma",0.532687324267195
"181","fish","isrnort270122J",22.1,34.957428,29.546385,"abundance",10
"182","fish","isrnort270122J",22.1,34.957428,29.546385,"richness",5
"183","fish","isrnort270122J",22.1,34.957428,29.546385,"sigma",0.0112509341709317
"184","fish","isrwest020920A",135,34.94395,29.5291,"abundance",8
"185","fish","isrwest020920A",135,34.94395,29.5291,"richness",5
"186","fish","isrwest020920A",135,34.94395,29.5291,"sigma",0.0326061737849961
"187","fish","isrwest020920B",117,34.946217,29.532133,"abundance",9
"188","fish","isrwest020920B",117,34.946217,29.532133,"richness",4
"189","fish","isrwest020920B",117,34.946217,29.532133,"sigma",0.0132173373949987
"190","fish","isrwest020920C",86.2,34.9482,29.534383,"abundance",5
"191","fish","isrwest020920C",86.2,34.9482,29.534383,"richness",5
"192","fish","isrwest020920C",86.2,34.9482,29.534383,"sigma",0.0432486754923437
"193","fish","isrwest020920D",70,34.94875,29.536583,"abundance",27
"194","fish","isrwest020920D",70,34.94875,29.536583,"richness",9
"195","fish","isrwest020920D",70,34.94875,29.536583,"sigma",1.55772799009887
"196","fish","isrwest020920E",56.7,34.949417,29.538383,"abundance",10
"197","fish","isrwest020920E",56.7,34.949417,29.538383,"richness",8
"198","fish","isrwest020920E",56.7,34.949417,29.538383,"sigma",0.0203508702201317
"199","fish","isrwest020920F",37.5,34.946767,29.536067,"abundance",58
"200","fish","isrwest020920F",37.5,34.946767,29.536067,"richness",16
"201","fish","isrwest020920F",37.5,34.946767,29.536067,"sigma",3.15274108905588
"202","fish","isrwest020920G",10.5,34.945933,29.537133,"abundance",31
"203","fish","isrwest020920G",10.5,34.945933,29.537133,"richness",11
"204","fish","isrwest020920G",10.5,34.945933,29.537133,"sigma",1.47881830831905
"205","fish","isrwest130721A",144,34.929317,29.5063,"abundance",10
"206","fish","isrwest130721A",144,34.929317,29.5063,"richness",5
"207","fish","isrwest130721A",144,34.929317,29.5063,"sigma",0.00772819193455397
"208","fish","isrwest130721D",76.9,34.927367,29.5087,"abundance",12
"209","fish","isrwest130721D",76.9,34.927367,29.5087,"richness",5
"210","fish","isrwest130721D",76.9,34.927367,29.5087,"sigma",0.464218242095224
"211","fish","isrwest130721E",94.4,34.931467,29.51095,"abundance",35
"212","fish","isrwest130721E",94.4,34.931467,29.51095,"richness",17
"213","fish","isrwest130721E",94.4,34.931467,29.51095,"sigma",1.83058705147954
"214","fish","isrwest130721F",50.6,34.929733,29.51405,"abundance",62
"215","fish","isrwest130721F",50.6,34.929733,29.51405,"richness",27
"216","fish","isrwest130721F",50.6,34.929733,29.51405,"sigma",0.891841203243023
"217","fish","isrwest130721G",36,34.924767,29.51005,"abundance",86
"218","fish","isrwest130721G",36,34.924767,29.51005,"richness",16
"219","fish","isrwest130721G",36,34.924767,29.51005,"sigma",4.21826247361185
"220","fish","isrwest130721H",10.5,34.921029,29.506497,"abundance",108
"221","fish","isrwest130721H",10.5,34.921029,29.506497,"richness",41
"222","fish","isrwest130721H",10.5,34.921029,29.506497,"sigma",1.04068087420562
"223","fish","isrwest130721I",21.4,34.922367,29.507567,"abundance",137
"224","fish","isrwest130721I",21.4,34.922367,29.507567,"richness",27
"225","fish","isrwest130721I",21.4,34.922367,29.507567,"sigma",3.21549648632
"226","fish","isrwest140520A",10.7,34.921067,29.506717,"abundance",58
"227","fish","isrwest140520A",10.7,34.921067,29.506717,"richness",27
"228","fish","isrwest140520A",10.7,34.921067,29.506717,"sigma",0.461185331000943
"229","fish","isrwest140520B",26.8,34.924433,29.50955,"abundance",155
"230","fish","isrwest140520B",26.8,34.924433,29.50955,"richness",26
"231","fish","isrwest140520B",26.8,34.924433,29.50955,"sigma",3.98656534370942
"232","fish","isrwest140520C",53.8,34.919817,29.5037,"abundance",34
"233","fish","isrwest140520C",53.8,34.919817,29.5037,"richness",11
"234","fish","isrwest140520C",53.8,34.919817,29.5037,"sigma",4.71864626949987
"235","fish","isrwest140520D",68.9,34.923683,29.50695,"abundance",6
"236","fish","isrwest140520D",68.9,34.923683,29.50695,"richness",5
"237","fish","isrwest140520D",68.9,34.923683,29.50695,"sigma",0.0234870107351228
"238","fish","isrwest140520E",83,34.922017,29.500833,"abundance",10
"239","fish","isrwest140520E",83,34.922017,29.500833,"richness",6
"240","fish","isrwest140520E",83,34.922017,29.500833,"sigma",0.0149077756686561
"241","fish","isrwest140520F",105,34.922267,29.4991,"abundance",10
"242","fish","isrwest140520F",105,34.922267,29.4991,"richness",6
"243","fish","isrwest140520F",105,34.922267,29.4991,"sigma",0.00895689841914691
"244","fish","isrwest141021A",10.3,34.920017,29.50565,"abundance",56
"245","fish","isrwest141021A",10.3,34.920017,29.50565,"richness",19
"246","fish","isrwest141021A",10.3,34.920017,29.50565,"sigma",2.66111599004108
"247","fish","isrwest141021B",32.8,34.922017,29.506817,"abundance",141
"248","fish","isrwest141021B",32.8,34.922017,29.506817,"richness",42
"249","fish","isrwest141021B",32.8,34.922017,29.506817,"sigma",1.44454857100126
"250","fish","isrwest141021C",145.3,34.927517,29.5042,"abundance",4
"251","fish","isrwest141021C",145.3,34.927517,29.5042,"richness",3
"252","fish","isrwest141021C",145.3,34.927517,29.5042,"sigma",0.0195414609133534
"253","fish","isrwest141021D",54.6,34.923167,29.5075,"abundance",15
"254","fish","isrwest141021D",54.6,34.923167,29.5075,"richness",12
"255","fish","isrwest141021D",54.6,34.923167,29.5075,"sigma",3.40896852421111
"256","fish","isrwest141021E",121.4,34.926483,29.503667,"abundance",5
"257","fish","isrwest141021E",121.4,34.926483,29.503667,"richness",3
"258","fish","isrwest141021E",121.4,34.926483,29.503667,"sigma",0.483210237665936
"259","fish","isrwest141021F",71.8,34.9229,29.505467,"abundance",17
"260","fish","isrwest141021F",71.8,34.9229,29.505467,"richness",6
"261","fish","isrwest141021F",71.8,34.9229,29.505467,"sigma",3.74698207822459
"262","fish","isrwest141021G",91,34.92705,29.5061,"abundance",1
"263","fish","isrwest141021G",91,34.92705,29.5061,"richness",1
"264","fish","isrwest141021G",91,34.92705,29.5061,"sigma",0.0896093888935205
"265","fish","isrwest141021H",67.5,34.92395,29.507717,"abundance",18
"266","fish","isrwest141021H",67.5,34.92395,29.507717,"richness",4
"267","fish","isrwest141021H",67.5,34.92395,29.507717,"sigma",1.64586520741962
"268","fish","isrwest141021I",45.5,34.922633,29.50725,"abundance",13
"269","fish","isrwest141021I",45.5,34.922633,29.50725,"richness",9
"270","fish","isrwest141021I",45.5,34.922633,29.50725,"sigma",0.0114312928976834
"271","fish","isrwest180321A",137,34.9224,29.4975,"abundance",10
"272","fish","isrwest180321A",137,34.9224,29.4975,"richness",4
"273","fish","isrwest180321A",137,34.9224,29.4975,"sigma",0.00786592631325655
"274","fish","isrwest180321B",118.2,34.9201,29.4959,"abundance",3
"275","fish","isrwest180321B",118.2,34.9201,29.4959,"richness",3
"276","fish","isrwest180321B",118.2,34.9201,29.4959,"sigma",0.0521168099182725
"277","fish","isrwest180321C",92.3,34.921,29.498733,"abundance",9
"278","fish","isrwest180321C",92.3,34.921,29.498733,"richness",6
"279","fish","isrwest180321C",92.3,34.921,29.498733,"sigma",0.249294927583836
"280","fish","isrwest180321D",70.6,34.917233,29.498433,"abundance",5
"281","fish","isrwest180321D",70.6,34.917233,29.498433,"richness",5
"282","fish","isrwest180321D",70.6,34.917233,29.498433,"sigma",0.0432486754923437
"283","fish","isrwest180321E",53.3,34.918917,29.50145,"abundance",119
"284","fish","isrwest180321E",53.3,34.918917,29.50145,"richness",17
"285","fish","isrwest180321E",53.3,34.918917,29.50145,"sigma",3.2467285597699
"286","fish","isrwest180321F",34.3,34.9153,29.49875,"abundance",51
"287","fish","isrwest180321F",34.3,34.9153,29.49875,"richness",20
"288","fish","isrwest180321F",34.3,34.9153,29.49875,"sigma",1.26621448699994
"289","fish","isrwest180321G",140,34.923633,29.4986,"abundance",5
"290","fish","isrwest180321G",140,34.923633,29.4986,"richness",3
"291","fish","isrwest180321G",140,34.923633,29.4986,"sigma",0.483210237665936
"292","fish","isrwest180321H",8.1,34.917697,29.501602,"abundance",159
"293","fish","isrwest180321H",8.1,34.917697,29.501602,"richness",25
"294","fish","isrwest180321H",8.1,34.917697,29.501602,"sigma",2.21759557559055
"295","fish","isrwest240220A",10,34.91827,29.50192,"abundance",33
"296","fish","isrwest240220A",10,34.91827,29.50192,"richness",15
"297","fish","isrwest240220A",10,34.91827,29.50192,"sigma",1.4366574938553
"298","fish","isrwest240220B",20,34.91016,29.49592,"abundance",80
"299","fish","isrwest240220B",20,34.91016,29.49592,"richness",20
"300","fish","isrwest240220B",20,34.91016,29.49592,"sigma",4.17128006698846
"301","fish","isrwest240220C",40.4,34.91321,29.49511,"abundance",34
"302","fish","isrwest240220C",40.4,34.91321,29.49511,"richness",13
"303","fish","isrwest240220C",40.4,34.91321,29.49511,"sigma",1.22406978230099
"304","fish","isrwest240220D",60.9,34.90939,29.49084,"abundance",9
"305","fish","isrwest240220D",60.9,34.90939,29.49084,"richness",2
"306","fish","isrwest240220D",60.9,34.90939,29.49084,"sigma",1.57430216938532
"307","fish","isrwest240220E",76.6,34.91415,29.49217,"abundance",43
"308","fish","isrwest240220E",76.6,34.91415,29.49217,"richness",14
"309","fish","isrwest240220E",76.6,34.91415,29.49217,"sigma",1.53880527130186
"310","fish","isrwest240220F",103.7,34.91629,29.49311,"abundance",3
"311","fish","isrwest240220F",103.7,34.91629,29.49311,"richness",2
"312","fish","isrwest240220F",103.7,34.91629,29.49311,"sigma",0.0150563559131666
"313","fish","isrwest241220A",136,34.9332,29.51215,"abundance",4
"314","fish","isrwest241220A",136,34.9332,29.51215,"richness",2
"315","fish","isrwest241220A",136,34.9332,29.51215,"sigma",0.0217864630935816
"316","fish","isrwest241220B",110.5,34.93455,29.514217,"abundance",3
"317","fish","isrwest241220B",110.5,34.93455,29.514217,"richness",2
"318","fish","isrwest241220B",110.5,34.93455,29.514217,"sigma",0.0150563559131666
"319","fish","isrwest241220C",98,34.935533,29.516933,"abundance",12
"320","fish","isrwest241220C",98,34.935533,29.516933,"richness",4
"321","fish","isrwest241220C",98,34.935533,29.516933,"sigma",0.869197134879633
"322","fish","isrwest241220D",67.7,34.935283,29.519583,"abundance",8
"323","fish","isrwest241220D",67.7,34.935283,29.519583,"richness",6
"324","fish","isrwest241220D",67.7,34.935283,29.519583,"sigma",1.85427849902116
"325","fish","isrwest241220E",52.8,34.936067,29.522133,"abundance",37
"326","fish","isrwest241220E",52.8,34.936067,29.522133,"richness",25
"327","fish","isrwest241220E",52.8,34.936067,29.522133,"sigma",0.670756007166369
"328","fish","isrwest241220F",29.1,34.935683,29.523133,"abundance",76
"329","fish","isrwest241220F",29.1,34.935683,29.523133,"richness",34
"330","fish","isrwest241220F",29.1,34.935683,29.523133,"sigma",1.25161434103197
"331","fish","isrwest241220G",24.8,34.937333,29.52525,"abundance",49
"332","fish","isrwest241220G",24.8,34.937333,29.52525,"richness",23
"333","fish","isrwest241220G",24.8,34.937333,29.52525,"sigma",0.851318349386451
"334","fish","isrwest241220H",87.2,34.94065,29.524667,"abundance",5
"335","fish","isrwest241220H",87.2,34.94065,29.524667,"richness",3
"336","fish","isrwest241220H",87.2,34.94065,29.524667,"sigma",0.483210237665936
"337","fish","isrwest241220I",41.9,34.938733,29.5244,"abundance",76
"338","fish","isrwest241220I",41.9,34.938733,29.5244,"richness",25
"339","fish","isrwest241220I",41.9,34.938733,29.5244,"sigma",0.993973912015301
"340","fish","isrwest260122A",140,34.926299,29.502833,"abundance",8
"341","fish","isrwest260122A",140,34.926299,29.502833,"richness",4
"342","fish","isrwest260122A",140,34.926299,29.502833,"sigma",4.60925448473406
"343","fish","isrwest260122B",114,34.919699,29.495409,"abundance",6
"344","fish","isrwest260122B",114,34.919699,29.495409,"richness",4
"345","fish","isrwest260122B",114,34.919699,29.495409,"sigma",0.95418307142064
"346","fish","isrwest260122C",149,34.916886,29.492337,"abundance",3
"347","fish","isrwest260122C",149,34.916886,29.492337,"richness",3
"348","fish","isrwest260122C",149,34.916886,29.492337,"sigma",0.0521168099182725
"349","fish","isrwest260122D",92,34.913954,29.491262,"abundance",6
"350","fish","isrwest260122D",92,34.913954,29.491262,"richness",5
"351","fish","isrwest260122D",92,34.913954,29.491262,"sigma",0.0234870107351228
"352","fish","isrwest260122E",71,34.9172,29.497683,"abundance",6
"353","fish","isrwest260122E",71,34.9172,29.497683,"richness",5
"354","fish","isrwest260122E",71,34.9172,29.497683,"sigma",0.0234870107351228
"355","fish","isrwest260122F",48.4,34.912483,29.495017,"abundance",72
"356","fish","isrwest260122F",48.4,34.912483,29.495017,"richness",22
"357","fish","isrwest260122F",48.4,34.912483,29.495017,"sigma",2.00884892495261
"358","fish","isrwest260122G",34.4,34.914748,29.498272,"abundance",30
"359","fish","isrwest260122G",34.4,34.914748,29.498272,"richness",16
"360","fish","isrwest260122G",34.4,34.914748,29.498272,"sigma",1.33597569255178
"361","fish","isrwest260122H",16.8,34.908531,29.495314,"abundance",48
"362","fish","isrwest260122H",16.8,34.908531,29.495314,"richness",20
"363","fish","isrwest260122H",16.8,34.908531,29.495314,"sigma",2.57886411432852
"364","fish","isrwest260122I",20.1,34.907006,29.494041,"abundance",50
"365","fish","isrwest260122I",20.1,34.907006,29.494041,"richness",21
"366","fish","isrwest260122I",20.1,34.907006,29.494041,"sigma",2.10872892329312
"367","fish","isrwest260122J",40.9,34.910249,29.493163,"abundance",32
"368","fish","isrwest260122J",40.9,34.910249,29.493163,"richness",11
"369","fish","isrwest260122J",40.9,34.910249,29.493163,"sigma",1.68627870496705
"370","sponges","10q10",10,34.9174723,29.5018611,"abundance",0
"371","sponges","10q10",10,34.9174723,29.5018611,"richness",0
"372","sponges","10q10",10,34.9174723,29.5018611,"sigma",NA
"373","sponges","10q11",10,34.9174723,29.5018611,"abundance",1
"374","sponges","10q11",10,34.9174723,29.5018611,"richness",1
"375","sponges","10q11",10,34.9174723,29.5018611,"sigma",0.0896093888935205
"376","sponges","10q12",10,34.9174723,29.5018611,"abundance",0
"377","sponges","10q12",10,34.9174723,29.5018611,"richness",0
"378","sponges","10q12",10,34.9174723,29.5018611,"sigma",NA
"379","sponges","10q13",10,34.9174723,29.5018611,"abundance",1
"380","sponges","10q13",10,34.9174723,29.5018611,"richness",1
"381","sponges","10q13",10,34.9174723,29.5018611,"sigma",0.0896093888935205
"382","sponges","10q14",10,34.9174723,29.5018611,"abundance",0
"383","sponges","10q14",10,34.9174723,29.5018611,"richness",0
"384","sponges","10q14",10,34.9174723,29.5018611,"sigma",NA
"385","sponges","10q15",10,34.9174723,29.5018611,"abundance",0
"386","sponges","10q15",10,34.9174723,29.5018611,"richness",0
"387","sponges","10q15",10,34.9174723,29.5018611,"sigma",NA
