"OpCode","Family","species","MaxN","depth","temperature","sea","n_measure","min_FL","mean_FL","max_FL","sd_FL","se_FL","MoE_FL","ci_low","ci_high"
"israchz040221E","Sparidae","Boops boops",2,66.2,18,"med",1,152.2,152.2,152.2,NA,NA,NA,NA,NA
"israchz040221E","Sparidae","Pagellus erythrinus",3,66.2,18,"med",1,67.8,67.8,67.8,NA,NA,NA,NA,NA
"israchz040221E","Synodontidae","Saurida lessepsianus",1,66.2,18,"med",1,205.1,205.1,205.1,NA,NA,NA,NA,NA
"israchz040221E","Tetraodontidae","Lagocephalus sceleratus",8,66.2,18,"med",6,362.82,397.12,444.1,37.6,15.35,30.08,367.04,427.2
"israchz040221F","Nemipteridae","Nemipterus randalli",13,86.1,18,"med",5,135.77,149.52,158.24,8.57,3.83,7.52,142,157.03
"israchz040221F","Sparidae","Pagellus erythrinus",3,86.1,18,"med",3,157,170.78,189.59,16.86,9.73,19.08,151.7,189.86
"israchz040221F","Tetraodontidae","Lagocephalus guentheri",2,86.1,18,"med",1,167.18,167.18,167.18,NA,NA,NA,NA,NA
"israchz040221F","Tetraodontidae","Lagocephalus suezensis",1,86.1,18,"med",1,171.76,171.76,171.76,NA,NA,NA,NA,NA
"israchz040221G","Sparidae","Pagellus acarne",5,123.3,18,"med",1,153.67,153.67,153.67,NA,NA,NA,NA,NA
"israchz040221G","Sparidae","Pagellus erythrinus",1,123.3,18,"med",1,138.02,138.02,138.02,NA,NA,NA,NA,NA
"israchz040221G","Trichiuridae","Trichiurus lepturus",1,123.3,18,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz040221H","Carangidae","Trachurus mediterraneus",1,132.4,17,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz040221H","Scombridae","Scomber colias",26,132.4,17,"med",3,214.86,239.14,262.98,24.06,13.89,27.23,211.9,266.37
"israchz040221H","Sparidae","Boops boops",2,132.4,17,"med",1,189.08,189.08,189.08,NA,NA,NA,NA,NA
"israchz040221H","Sparidae","Dentex macrophthalmus",1,132.4,17,"med",1,119.65,119.65,119.65,NA,NA,NA,NA,NA
"israchz040221H","Sparidae","Pagellus acarne",15,132.4,17,"med",6,129.87,140.27,154.33,8.31,3.39,6.65,133.62,146.92
"israchz040221H","Sparidae","Pagellus erythrinus",2,132.4,17,"med",2,136.4,145.95,155.49,13.5,9.54,18.71,127.24,164.66
"israchz040221H","Synodontidae","Saurida lessepsianus",1,132.4,17,"med",1,332.49,332.49,332.49,NA,NA,NA,NA,NA
"israchz040221H","Trichiuridae","Trichiurus lepturus",1,132.4,17,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz091121A","Labridae","Thalassoma pavo",3,9.4,24,"med",2,34.65,40.57,46.49,8.37,5.92,11.61,28.96,52.18
"israchz091121A","Mullidae","Parupeneus forsskali",13,9.4,24,"med",9,136.08,194.37,241.63,42.09,14.03,27.5,166.87,221.87
"israchz091121A","Siganidae","Siganus luridus",2,9.4,24,"med",2,132.92,136.54,140.17,5.12,3.62,7.1,129.45,143.64
"israchz091121A","Siganidae","Siganus rivulatus",50,9.4,24,"med",8,111.7,153.86,216.88,32.63,11.54,22.61,131.25,176.47
"israchz091121A","Sparidae","Diplodus sargus",5,9.4,24,"med",3,124.75,148.68,180.62,28.78,16.62,32.57,116.12,181.25
"israchz091121A","Tetraodontidae","Torquigener flavimaculosus",1,9.4,24,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz091121B","Fistulariidae","Fistularia commersonii",1,30,24,"med",1,205.22,205.22,205.22,NA,NA,NA,NA,NA
"israchz091121B","Sparidae","Pagellus acarne",2,30,24,"med",2,75.27,86.19,97.11,15.44,10.92,21.41,64.79,107.6
"israchz091121B","Sparidae","Pagrus caeruleostictus",4,30,24,"med",4,119.89,123.74,127.46,3.39,1.69,3.32,120.43,127.06
"israchz091121B","Tetraodontidae","Lagocephalus suezensis",16,30,24,"med",9,77.83,110.58,143.31,19.01,6.34,12.42,98.16,123
"israchz091121B","Tetraodontidae","Torquigener flavimaculosus",1,30,24,"med",1,106.71,106.71,106.71,NA,NA,NA,NA,NA
"israchz091121C","Carangidae","Seriola dumerili",3,48.2,22,"med",3,312.41,337.54,363.86,25.75,14.87,29.14,308.4,366.68
"israchz091121C","Tetraodontidae","Lagocephalus sceleratus",5,48.2,22,"med",5,349.21,420.13,548.17,77.79,34.79,68.19,351.95,488.32
"israchz091121D","Nemipteridae","Nemipterus randalli",8,71.7,19,"med",4,58.08,83.75,115.65,24.54,12.27,24.05,59.71,107.8
"israchz091121D","Tetraodontidae","Lagocephalus suezensis",2,71.7,19,"med",1,159.57,159.57,159.57,NA,NA,NA,NA,NA
"israchz091121E","Nemipteridae","Nemipterus randalli",2,88,17,"med",1,91.03,91.03,91.03,NA,NA,NA,NA,NA
"israchz091121E","Tetraodontidae","Lagocephalus sceleratus",1,88,17,"med",1,576.45,576.45,576.45,NA,NA,NA,NA,NA
"israchz091121F","Nemipteridae","Nemipterus randalli",3,113,17,"med",3,57.77,90.16,119.08,30.8,17.79,34.86,55.3,125.01
"israchz091121G","Nemipteridae","Nemipterus randalli",1,129,16,"med",1,162.23,162.23,162.23,NA,NA,NA,NA,NA
"israchz091121G","Sparidae","Dentex macrophthalmus",1,129,16,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz091121G","Sparidae","Dentex maroccanus",3,129,16,"med",2,116.76,129.51,142.26,18.03,12.75,24.99,104.52,154.5
"israchz091121H","Balistidae","Balistes capriscus",1,41.4,24,"med",1,367.36,367.36,367.36,NA,NA,NA,NA,NA
"israchz091121H","Carangidae","Caranx crysos",6,41.4,24,"med",4,323.93,369.43,405.64,35.18,17.59,34.47,334.96,403.91
"israchz091121H","Carangidae","Seriola dumerili",3,41.4,24,"med",3,314.22,336.06,353.99,20.17,11.65,22.83,313.24,358.89
"israchz091121H","Tetraodontidae","Lagocephalus guentheri",3,41.4,24,"med",3,344.85,349.97,356.53,5.97,3.45,6.76,343.22,356.73
"israchz091121H","Tetraodontidae","Lagocephalus sceleratus",6,41.4,24,"med",6,342.43,414.01,532.2,82.94,33.86,66.37,347.65,480.38
"israchz091121I","Carangidae","Seriola dumerili",1,44.1,22,"med",1,320.1,320.1,320.1,NA,NA,NA,NA,NA
"israchz091121I","Nemipteridae","Nemipterus randalli",4,44.1,22,"med",2,66.17,66.55,66.92,0.53,0.37,0.73,65.82,67.28
"israchz091121I","Tetraodontidae","Lagocephalus suezensis",16,44.1,22,"med",8,102.64,121.75,158.49,19.88,7.03,13.78,107.98,135.53
"israchz091121J","Labridae","Coris julis",7,8.7,24,"med",4,28.24,58.13,79.73,24,12,23.52,34.61,81.66
"israchz091121J","Labridae","Thalassoma pavo",4,8.7,24,"med",2,39.17,54.61,70.05,21.83,15.44,30.26,24.35,84.87
"israchz091121J","Mullidae","Parupeneus forsskali",8,8.7,24,"med",8,40.88,152,198.51,48.91,17.29,33.89,118.11,185.89
"israchz091121J","Myliobatidae","Rhinoptera marginata",3,8.7,24,"med",1,2423.49,2423.49,2423.49,NA,NA,NA,NA,NA
"israchz091121J","Serranidae","Serranus scriba",1,8.7,24,"med",1,121.47,121.47,121.47,NA,NA,NA,NA,NA
"israchz091121J","Siganidae","Siganus rivulatus",13,8.7,24,"med",6,70.96,80.78,98.17,10.68,4.36,8.54,72.24,89.32
"israchz091121J","Sparidae","Pagrus caeruleostictus",2,8.7,24,"med",2,127.28,139.35,151.41,17.07,12.07,23.65,115.69,163
"israchz091121J","Tetraodontidae","Lagocephalus sceleratus",1,8.7,24,"med",1,575.5,575.5,575.5,NA,NA,NA,NA,NA
"israchz131119A","Gobiidae","Gobius bucchichi",3,22.6,24,"med",1,43.16,43.16,43.16,NA,NA,NA,NA,NA
"israchz131119A","Labridae","Coris julis",2,22.6,24,"med",2,52.56,60.66,68.76,11.45,8.1,15.87,44.79,76.53
"israchz131119A","Mullidae","Parupeneus forsskali",42,22.6,24,"med",7,39.03,55.02,85.91,17.24,6.52,12.77,42.25,67.8
"israchz131119A","Tetraodontidae","Lagocephalus sceleratus",1,22.6,24,"med",1,508.25,508.25,508.25,NA,NA,NA,NA,NA
"israchz131119A","Tetraodontidae","Torquigener flavimaculosus",1,22.6,24,"med",1,104.5,104.5,104.5,NA,NA,NA,NA,NA
"israchz260422A","Labridae","Coris julis",3,9.6,18,"med",3,67.53,87.34,109.8,21.26,12.28,24.06,63.28,111.41
"israchz260422A","Labridae","Thalassoma pavo",1,9.6,18,"med",1,58.19,58.19,58.19,NA,NA,NA,NA,NA
"israchz260422A","Labridae","Xyrichtys novacula",2,9.6,18,"med",2,119.69,121.55,123.41,2.63,1.86,3.65,117.9,125.2
"israchz260422A","Sparidae","Pagellus erythrinus",10,9.6,18,"med",6,33.38,42.53,48.29,5.97,2.44,4.78,37.75,47.31
"israchz260422A","Sparidae","Pagrus caeruleostictus",1,9.6,18,"med",1,185.32,185.32,185.32,NA,NA,NA,NA,NA
"israchz260422A","Tetraodontidae","Lagocephalus sceleratus",2,9.6,18,"med",2,420.85,446.13,471.41,35.75,25.28,49.55,396.58,495.67
"israchz260422A","Tetraodontidae","Torquigener flavimaculosus",1,9.6,18,"med",1,140.03,140.03,140.03,NA,NA,NA,NA,NA
"israchz260422B","Carangidae","Seriola dumerili",1,20.6,18,"med",1,1187.48,1187.48,1187.48,NA,NA,NA,NA,NA
"israchz260422B","Labridae","Thalassoma pavo",1,20.6,18,"med",1,81.23,81.23,81.23,NA,NA,NA,NA,NA
"israchz260422B","Muraenidae","Muraena helena",1,20.6,18,"med",1,485.75,485.75,485.75,NA,NA,NA,NA,NA
"israchz260422B","Serranidae","Epinephelus costae",1,20.6,18,"med",1,452.42,452.42,452.42,NA,NA,NA,NA,NA
"israchz260422B","Sparidae","Pagrus caeruleostictus",3,20.6,18,"med",3,186.06,235.77,273.05,44.81,25.87,50.7,185.06,286.47
"israchz260422C","Scorpaenidae","Pterois miles",1,39.4,17,"med",1,271.76,271.76,271.76,NA,NA,NA,NA,NA
"israchz260422C","Tetraodontidae","Lagocephalus sceleratus",3,39.4,17,"med",3,432.84,439.61,452.78,11.41,6.59,12.91,426.7,452.52
"israchz260422D","Rhinobatidae","Rhinobatos rhinobatos",1,45.8,17,"med",1,785.59,785.59,785.59,NA,NA,NA,NA,NA
"israchz260422D","Sparidae","Pagellus erythrinus",2,45.8,17,"med",2,183.74,205.28,226.82,30.46,21.54,42.21,163.07,247.49
"israchz260422D","Tetraodontidae","Lagocephalus sceleratus",6,45.8,17,"med",5,200.35,266.67,463.86,111.06,49.67,97.35,169.32,364.01
"israchz260422E","Nemipteridae","Nemipterus randalli",3,61.8,17,"med",2,76.07,89.47,102.87,18.95,13.4,26.27,63.2,115.74
"israchz260422E","Sparidae","Pagellus erythrinus",1,61.8,17,"med",1,129.22,129.22,129.22,NA,NA,NA,NA,NA
"israchz260422F","Nemipteridae","Nemipterus randalli",4,72.8,17,"med",2,95.89,96.82,97.74,1.31,0.92,1.81,95,98.63
"israchz260422F","Sparidae","Pagellus erythrinus",4,72.8,17,"med",4,85.24,103.55,119.95,14.25,7.13,13.97,89.59,117.52
"israchz260422G","Mullidae","Upeneus moluccensis",1,104.2,15,"med",1,155.92,155.92,155.92,NA,NA,NA,NA,NA
"israchz260422G","Sparidae","Dentex maroccanus",5,104.2,15,"med",5,143.87,151.36,158.56,6.78,3.03,5.94,145.42,157.3
"israchz260422G","Synodontidae","Saurida lessepsianus",1,104.2,15,"med",1,261,261,261,NA,NA,NA,NA,NA
"israchz260422I","Nemipteridae","Nemipterus randalli",1,143,15,"med",1,110.29,110.29,110.29,NA,NA,NA,NA,NA
"israchz260422J","Sparidae","Dentex maroccanus",4,120,16,"med",3,137.92,146.23,153.86,7.99,4.61,9.04,137.19,155.27
"israchz260521A","Carangidae","Seriola dumerili",1,12.1,24,"med",1,998.18,998.18,998.18,NA,NA,NA,NA,NA
"israchz260521A","Holocentridae","Sargocentron rubrum",2,12.1,24,"med",2,138.72,141.2,143.69,3.51,2.49,4.87,136.33,146.07
"israchz260521A","Labridae","Coris julis",1,12.1,24,"med",1,117.02,117.02,117.02,NA,NA,NA,NA,NA
"israchz260521A","Labridae","Symphodus tinca",3,12.1,24,"med",3,151.14,163.01,177.01,13.07,7.55,14.79,148.22,177.8
"israchz260521A","Labridae","Thalassoma pavo",2,12.1,24,"med",2,62.93,80.85,98.77,25.34,17.92,35.12,45.73,115.97
"israchz260521A","Mullidae","Parupeneus forsskali",2,12.1,24,"med",1,164.53,164.53,164.53,NA,NA,NA,NA,NA
"israchz260521A","Pomacentridae","Chromis chromis",19,12.1,24,"med",10,30.77,87.32,147.67,36.76,11.62,22.78,64.54,110.11
"israchz260521A","Serranidae","Epinephelus costae",1,12.1,24,"med",1,216.36,216.36,216.36,NA,NA,NA,NA,NA
"israchz260521A","Serranidae","Epinephelus marginatus",1,12.1,24,"med",1,339.08,339.08,339.08,NA,NA,NA,NA,NA
"israchz260521A","Siganidae","Siganus luridus",40,12.1,24,"med",13,95.58,113.84,135.24,12.88,3.57,7,106.84,120.85
"israchz260521A","Tetraodontidae","Lagocephalus sceleratus",3,12.1,24,"med",3,441.64,492.57,535.67,47.5,27.43,53.75,438.82,546.32
"israchz260521B","Labridae","Coris julis",3,32.9,23,"med",3,41.68,63.54,76.46,19.03,10.99,21.54,42,85.08
"israchz260521B","Mullidae","Parupeneus forsskali",2,32.9,23,"med",2,66.18,76.51,86.85,14.62,10.34,20.26,56.26,96.77
"israchz260521B","Serranidae","Serranus cabrilla",1,32.9,23,"med",1,105.09,105.09,105.09,NA,NA,NA,NA,NA
"israchz260521B","Tetraodontidae","Lagocephalus sceleratus",5,32.9,23,"med",4,423.68,444.75,471.78,24.02,12.01,23.54,421.21,468.28
"israchz260521B","Tetraodontidae","Torquigener flavimaculosus",1,32.9,23,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz260521D","Nemipteridae","Nemipterus randalli",2,76.4,18,"med",1,145.46,145.46,145.46,NA,NA,NA,NA,NA
"israchz260521D","Tetraodontidae","Lagocephalus sceleratus",2,76.4,18,"med",2,431.07,440.52,449.98,13.37,9.45,18.53,421.99,459.05
"israchz260521E","Nemipteridae","Nemipterus randalli",3,92.8,17,"med",1,95.47,95.47,95.47,NA,NA,NA,NA,NA
"israchz260521E","Tetraodontidae","Lagocephalus sceleratus",1,92.8,17,"med",1,462.88,462.88,462.88,NA,NA,NA,NA,NA
"israchz260521G","Sparidae","Pagellus erythrinus",1,134.4,16,"med",1,143.51,143.51,143.51,NA,NA,NA,NA,NA
"israchz270521A","Carangidae","Caranx crysos",1,10.2,25,"med",1,488.04,488.04,488.04,NA,NA,NA,NA,NA
"israchz270521A","Carangidae","Seriola dumerili",1,10.2,25,"med",1,1017.1,1017.1,1017.1,NA,NA,NA,NA,NA
"israchz270521A","Labridae","Coris julis",3,10.2,25,"med",3,66.22,112.8,136.11,40.34,23.29,45.65,67.15,158.45
"israchz270521A","Labridae","Thalassoma pavo",3,10.2,25,"med",3,46.4,60.86,82.12,18.8,10.86,21.28,39.59,82.14
"israchz270521A","Muraenidae","Muraena helena",1,10.2,25,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz270521A","Serranidae","Epinephelus costae",1,10.2,25,"med",1,490.34,490.34,490.34,NA,NA,NA,NA,NA
"israchz270521A","Siganidae","Siganus luridus",2,10.2,25,"med",2,155.33,156.19,157.05,1.21,0.86,1.68,154.51,157.87
"israchz270521A","Sparidae","Dentex dentex",1,10.2,25,"med",1,519.42,519.42,519.42,NA,NA,NA,NA,NA
"israchz270521A","Sparidae","Pagrus caeruleostictus",4,10.2,25,"med",4,260.36,275.4,297.89,17.36,8.68,17.01,258.39,292.42
"israchz270521A","Tetraodontidae","Lagocephalus sceleratus",1,10.2,25,"med",1,591.16,591.16,591.16,NA,NA,NA,NA,NA
"israchz270521A","Tetraodontidae","Torquigener flavimaculosus",7,10.2,25,"med",7,86.64,97.69,110.87,8.75,3.31,6.48,91.21,104.17
"israchz270521B","Bothidae","Bothus podas",2,29.6,24,"med",2,110.56,114.51,118.47,5.59,3.95,7.75,106.77,122.26
"israchz270521B","Labridae","Xyrichtys novacula",1,29.6,24,"med",1,130.5,130.5,130.5,NA,NA,NA,NA,NA
"israchz270521B","Rhinobatidae","Glaucostegus cemiculus",1,29.6,24,"med",1,1055.31,1055.31,1055.31,NA,NA,NA,NA,NA
"israchz270521B","Tetraodontidae","Lagocephalus guentheri",1,29.6,24,"med",1,328.04,328.04,328.04,NA,NA,NA,NA,NA
"israchz270521B","Tetraodontidae","Lagocephalus sceleratus",7,29.6,24,"med",7,175.1,219.69,248.05,23.53,8.89,17.43,202.26,237.12
"israchz270521D","Nemipteridae","Nemipterus randalli",4,75.6,18,"med",4,73.26,94.83,107.9,16.46,8.23,16.13,78.7,110.95
"israchz270521D","Tetraodontidae","Lagocephalus sceleratus",2,75.6,18,"med",2,440.2,454.8,469.39,20.64,14.59,28.6,426.2,483.4
"israchz270521E","Nemipteridae","Nemipterus randalli",3,92.1,17,"med",3,138.65,168.8,184.73,26.13,15.09,29.57,139.23,198.37
"israchz270521E","Sparidae","Pagellus erythrinus",2,92.1,17,"med",2,89.75,98.03,106.3,11.71,8.28,16.22,81.8,114.25
"israchz270521F","Sparidae","Pagellus erythrinus",3,113,17,"med",2,125.49,126.57,127.66,1.53,1.08,2.13,124.45,128.7
"israchz270521H","Rajidae","Raja clavata",1,103,17,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz270521H","Sparidae","Pagellus erythrinus",1,103,17,"med",1,98.13,98.13,98.13,NA,NA,NA,NA,NA
"israchz270521H","Tetraodontidae","Lagocephalus sceleratus",1,103,17,"med",1,376.35,376.35,376.35,NA,NA,NA,NA,NA
"isrnaha010322A","Gobiidae","Gobius bucchichi",1,10.4,17,"med",1,62.87,62.87,62.87,NA,NA,NA,NA,NA
"isrnaha010322A","Labridae","Coris julis",3,10.4,17,"med",3,50.32,92.78,136.12,42.9,24.77,48.55,44.23,141.33
"isrnaha010322A","Labridae","Pteragogus trispilus",1,10.4,17,"med",1,54.47,54.47,54.47,NA,NA,NA,NA,NA
"isrnaha010322A","Mullidae","Parupeneus forsskali",2,10.4,17,"med",1,175.85,175.85,175.85,NA,NA,NA,NA,NA
"isrnaha010322A","Serranidae","Serranus cabrilla",1,10.4,17,"med",1,96.52,96.52,96.52,NA,NA,NA,NA,NA
"isrnaha010322A","Tetraodontidae","Lagocephalus sceleratus",3,10.4,17,"med",3,418.6,437.02,467.26,26.4,15.24,29.87,407.15,466.89
"isrnaha010322A","Tetraodontidae","Torquigener flavimaculosus",6,10.4,17,"med",4,112.36,114.4,117.84,2.38,1.19,2.33,112.07,116.74
"isrnaha010322B","Dasyatidae","Taeniura grabata",2,19.1,17,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"isrnaha010322B","Labridae","Coris julis",2,19.1,17,"med",2,43.6,79.31,115.02,50.5,35.71,69.99,9.32,149.3
"isrnaha010322B","Tetraodontidae","Torquigener flavimaculosus",14,19.1,17,"med",4,70.63,89.28,101.46,13.33,6.67,13.07,76.21,102.34
"isrnaha010322C","Dasyatidae","Dasyatis marmorata",2,27,17,"med",1,674.32,674.32,674.32,NA,NA,NA,NA,NA
"isrnaha010322C","Nemipteridae","Nemipterus randalli",4,27,17,"med",3,90.15,104.38,119.19,14.53,8.39,16.44,87.94,120.81
"isrnaha010322C","Tetraodontidae","Lagocephalus sceleratus",11,27,17,"med",11,116.68,203.93,425.85,85.54,25.79,50.55,153.38,254.48
"isrnaha010322C","Tetraodontidae","Lagocephalus suezensis",2,27,17,"med",2,167.46,171.23,174.99,5.32,3.77,7.38,163.85,178.61
"isrnaha010322D","Nemipteridae","Nemipterus randalli",10,49.6,17,"med",1,64.49,64.49,64.49,NA,NA,NA,NA,NA
"isrnaha010322D","Rhinobatidae","Rhinobatos rhinobatos",2,49.6,17,"med",1,659.83,659.83,659.83,NA,NA,NA,NA,NA
"isrnaha010322D","Scombridae","Thunnus thynnus",1,49.6,17,"med",1,1448.01,1448.01,1448.01,NA,NA,NA,NA,NA
"isrnaha010322D","Sparidae","Pagrus caeruleostictus",1,49.6,17,"med",1,207.93,207.93,207.93,NA,NA,NA,NA,NA
"isrnaha010322D","Tetraodontidae","Lagocephalus sceleratus",2,49.6,17,"med",2,390.39,392.3,394.2,2.69,1.9,3.73,388.57,396.03
"isrnaha010322E","Nemipteridae","Nemipterus randalli",1,71.7,17,"med",1,134.88,134.88,134.88,NA,NA,NA,NA,NA
"isrnaha010322E","Tetraodontidae","Lagocephalus sceleratus",4,71.7,17,"med",4,372.92,389.01,411.46,17.09,8.54,16.74,372.26,405.75
"isrnaha010322F","Carangidae","Trachurus mediterraneus",10,79.5,16,"med",4,193.32,211.49,257.65,30.85,15.43,30.24,181.25,241.72
"isrnaha010322F","Nemipteridae","Nemipterus randalli",7,79.5,16,"med",7,89.57,151.69,180.99,36.28,13.71,26.88,124.81,178.57
"isrnaha010322F","Sparidae","Pagellus erythrinus",6,79.5,16,"med",6,193.5,210.89,221.86,10.45,4.27,8.37,202.52,219.25
"isrnaha010322F","Tetraodontidae","Lagocephalus sceleratus",1,79.5,16,"med",1,461.96,461.96,461.96,NA,NA,NA,NA,NA
"isrnaha010322G","Nemipteridae","Nemipterus randalli",2,90.8,17,"med",2,126.47,129.37,132.27,4.1,2.9,5.69,123.68,135.05
"isrnaha010322G","Sparidae","Pagellus erythrinus",2,90.8,17,"med",2,164.62,177.03,189.43,17.54,12.4,24.31,152.72,201.34
"isrnaha010322G","Synodontidae","Saurida lessepsianus",1,90.8,17,"med",1,407.11,407.11,407.11,NA,NA,NA,NA,NA
"isrnaha010322G","Tetraodontidae","Lagocephalus sceleratus",1,90.8,17,"med",1,465.14,465.14,465.14,NA,NA,NA,NA,NA
"isrnaha010322H","Nemipteridae","Nemipterus randalli",1,118,16,"med",1,106.88,106.88,106.88,NA,NA,NA,NA,NA
"isrnaha010322I","Nemipteridae","Nemipterus randalli",3,132,16,"med",3,74.84,85.14,95.7,10.43,6.02,11.81,73.33,96.94
"isrnaha010322J","Mullidae","Upeneus moluccensis",1,116,16,"med",1,152.42,152.42,152.42,NA,NA,NA,NA,NA
"isrnaha010322J","Nemipteridae","Nemipterus randalli",1,116,16,"med",1,79.57,79.57,79.57,NA,NA,NA,NA,NA
"isrnaha121119A","Gobiidae","Gobius bucchichi",1,11.4,24,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"isrnaha121119A","Holocentridae","Sargocentron rubrum",13,11.4,24,"med",6,153.84,167.44,186.96,14.64,5.98,11.71,155.73,179.16
"isrnaha121119A","Labridae","Coris julis",5,11.4,24,"med",5,33.68,73.62,94.13,23.43,10.48,20.54,53.08,94.15
"isrnaha121119A","Labridae","Symphodus tinca",5,11.4,24,"med",5,43.93,105.63,175.88,61.5,27.5,53.91,51.73,159.54
"isrnaha121119A","Labridae","Thalassoma pavo",4,11.4,24,"med",4,39.48,46.06,54.2,6.18,3.09,6.06,39.99,52.12
"isrnaha121119A","Mullidae","Parupeneus forsskali",5,11.4,24,"med",5,130.32,147.57,198.84,28.9,12.92,25.33,122.24,172.9
"isrnaha121119A","Pomacentridae","Chromis chromis",8,11.4,24,"med",5,71.7,87.64,123.11,21.34,9.54,18.71,68.93,106.35
"isrnaha121119A","Serranidae","Epinephelus costae",1,11.4,24,"med",1,123.75,123.75,123.75,NA,NA,NA,NA,NA
"isrnaha121119A","Serranidae","Serranus scriba",2,11.4,24,"med",1,133.87,133.87,133.87,NA,NA,NA,NA,NA
"isrnaha121119A","Siganidae","Siganus luridus",24,11.4,24,"med",22,72.52,104.89,133.47,13.42,2.86,5.61,99.28,110.5
"isrnaha121119A","Siganidae","Siganus rivulatus",25,11.4,24,"med",24,68.18,86.7,103.06,8.17,1.67,3.27,83.43,89.97
"isrnaha121119A","Sparidae","Diplodus vulgaris",6,11.4,24,"med",5,77.33,89.38,96.83,8.97,4.01,7.87,81.51,97.25
"isrnaha121119A","Tetraodontidae","Torquigener flavimaculosus",1,11.4,24,"med",1,95.26,95.26,95.26,NA,NA,NA,NA,NA
"isrnaha141119A","Blenniidae","Parablennius zvonimiri",1,13.8,24,"med",1,37.33,37.33,37.33,NA,NA,NA,NA,NA
"isrnaha141119A","Dasyatidae","Dasyatis pastinaca",1,13.8,24,"med",1,583.58,583.58,583.58,NA,NA,NA,NA,NA
"isrnaha141119A","Gobiidae","Gobius bucchichi",4,13.8,24,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"isrnaha141119A","Labridae","Coris julis",14,13.8,24,"med",10,39.65,67.61,99.53,20.69,6.54,12.82,54.78,80.43
"isrnaha141119A","Labridae","Pteragogus trispilus",1,13.8,24,"med",1,62.14,62.14,62.14,NA,NA,NA,NA,NA
